Predicted values against Expected values.....

Test Day=465, Predicted=14.608590, Expected=14.522038
Test Day=466, Predicted=14.527839, Expected=14.823557
Test Day=467, Predicted=14.834100, Expected=14.794061
Test Day=468, Predicted=14.806953, Expected=15.066082
Test Day=469, Predicted=15.080899, Expected=15.049696
Test Day=470, Predicted=15.065146, Expected=15.203732
Test Day=471, Predicted=15.218879, Expected=15.102134
Test Day=472, Predicted=15.115517, Expected=14.997257
Test Day=473, Predicted=15.007000, Expected=14.882549
Test Day=474, Predicted=14.890055, Expected=14.784228
Test Day=475, Predicted=14.790493, Expected=14.748178
Test Day=476, Predicted=14.754711, Expected=15.218934
Test Day=477, Predicted=15.232284, Expected=15.024706
Test Day=478, Predicted=15.038610, Expected=14.879857
Test Day=479, Predicted=14.888227, Expected=14.781097
Test Day=480, Predicted=14.787648, Expected=15.024706
Test Day=481, Predicted=15.035026, Expected=14.823894
Test Day=482, Predicted=14.833683, Expected=14.945698
Test Day=483, Predicted=14.955300, Expected=14.846937
Test Day=484, Predicted=14.856714, Expected=15.307818
Test Day=485, Predicted=15.322299, Expected=15.390118
Test Day=486, Predicted=15.408502, Expected=15.100422
Test Day=487, Predicted=15.111991, Expected=15.093838
Test Day=488, Predicted=15.102150, Expected=15.054334
Test Day=489, Predicted=15.063044, Expected=14.787682
Test Day=490, Predicted=14.792761, Expected=14.662585
Test Day=491, Predicted=14.665516, Expected=14.524321
Test Day=492, Predicted=14.527153, Expected=14.511153
Test Day=493, Predicted=14.515495, Expected=14.613205
Test Day=494, Predicted=14.621162, Expected=14.560534
Test Day=495, Predicted=14.569600, Expected=14.534197
Test Day=496, Predicted=14.542818, Expected=14.310341
Test Day=497, Predicted=14.316152, Expected=14.323509
Test Day=498, Predicted=14.329210, Expected=14.432145
Test Day=499, Predicted=14.441334, Expected=14.764637
Test Day=500, Predicted=14.779352, Expected=14.728425
Test Day=501, Predicted=14.744020, Expected=14.787682
Test Day=502, Predicted=14.801489, Expected=14.603329
Test Day=503, Predicted=14.613788, Expected=14.507861
Test Day=504, Predicted=14.515230, Expected=14.659293
Test Day=505, Predicted=14.669070, Expected=14.879857
Test Day=506, Predicted=14.894147, Expected=15.064210
Test Day=507, Predicted=15.081318, Expected=15.054334
Test Day=508, Predicted=15.070329, Expected=14.781097
Test Day=509, Predicted=14.790778, Expected=15.034581
Test Day=510, Predicted=15.045281, Expected=14.846937
Test Day=511, Predicted=14.857410, Expected=14.721841
Test Day=512, Predicted=14.728622, Expected=14.665877
Test Day=513, Predicted=14.672255, Expected=14.451897
Test Day=514, Predicted=14.456264, Expected=14.099652
Test Day=515, Predicted=14.099055, Expected=13.757284
Test Day=516, Predicted=13.752611, Expected=13.530136
Test Day=517, Predicted=13.524967, Expected=13.530136
Test Day=518, Predicted=13.529040, Expected=12.904655
Test Day=519, Predicted=12.897739, Expected=13.319448
Test Day=520, Predicted=13.318783, Expected=13.217396
Test Day=521, Predicted=13.223565, Expected=13.276651
Test Day=522, Predicted=13.283875, Expected=13.184476
Test Day=523, Predicted=13.192116, Expected=13.138388
Test Day=524, Predicted=13.145460, Expected=13.013291
Test Day=525, Predicted=13.019429, Expected=13.187767
Test Day=526, Predicted=13.196651, Expected=12.838815
Test Day=527, Predicted=12.844700, Expected=13.082423
Test Day=528, Predicted=13.089843, Expected=13.161431
Test Day=529, Predicted=13.173484, Expected=13.431376
Test Day=530, Predicted=13.446692, Expected=13.530136
Test Day=531, Predicted=13.547308, Expected=13.388579
Test Day=532, Predicted=13.401910, Expected=13.184476
Test Day=533, Predicted=13.192379, Expected=13.378704
Test Day=534, Predicted=13.388323, Expected=13.108759
